case,odds_ratio,ci_low,ci_high,log_odds,ci_log_low,ci_log_high,disaster_type,pvalue,sHDI_category,deviation_category,npoints,impact,significance,alpha_sig
Low sHDI - nat-average : Very high sHDI,2.3767576476780765,0.93094779200004385,6.168871895414275,0.8657372259558657,-0.07155208061361312,1.8195159841526363,All types,0.0733794515669608,Low sHDI,nat-average,1885,Likelihood fatalities,.,0.2
Low sHDI - worse-off : Very high sHDI,1.2150226593548858,0.5440157760489392,3.0496884146121004,0.194762726293412,-0.608777032456727,1.115039426257146,All types,0.667061650954701,Low sHDI,worse-off,1626,Likelihood fatalities,.,0.2
Medium sHDI - better-off : Very high sHDI,1.0323674956607565,0.4284198849336817,2.641556173445686,0.03185470411712453,-0.8476515247404783,0.971368203133651,All types,0.9467396004261203,Medium sHDI,better-off,1628,Likelihood fatalities,.,0.2
Medium sHDI - nat-average : Very high sHDI,1.3897865113035837,0.547509170880601,3.7173203695884554,0.32915014635637607,-0.6023760669649175,1.31300307796641,All types,0.5125354567100416,Medium sHDI,nat-average,2086,Likelihood fatalities,.,0.2
Medium sHDI - worse-off : Very high sHDI,2.5048332216572486,0.9996462250306266,6.611879052431692,0.9182221541396636,-3.5383756250089327e-4,1.8888678876607565,All types,0.060334739187695205,Medium sHDI,worse-off,1617,Likelihood fatalities,.,0.2
High sHDI - better-off : Very high sHDI,3.9266624395147276,0.7194574819759207,10.737807712630604,1.3677898130304886,-0.3292578482494409,2.3737709446534714,Flood,0.05125017133393369,High sHDI,better-off,489,Likelihood fatalities,.,0.2
High sHDI - nat-average : Very high sHDI,1.8187673479008712,0.6413445752435301,4.379639479892222,0.5981589902569159,-0.4441884076122223,1.4769664104737674,Flood,0.23122403516477616,High sHDI,nat-average,725,Likelihood fatalities,.,0.2
High sHDI - worse-off : Very high sHDI,2.743083120797548,0.6631728600397881,6.366536927769867,1.0090825143755076,-0.4107195987369683,1.85105566833965,Flood,0.07023200307667704,High sHDI,worse-off,418,Likelihood fatalities,.,0.2
Low sHDI - better-off : Very high sHDI,2.7743398399699917,1.1013437206330712,5.976085926373765,1.020412823390464,0.09653099851370361,1.787765826303746,Flood,0.017275155774730662,Low sHDI,better-off,520,Likelihood fatalities,* ,1
Low sHDI - nat-average : Very high sHDI,2.791004910868169,1.299975040536483,5.700198081218652,1.0264017140897812,0.2623450646958558,1.7405009253276909,Flood,0.006067700959081816,Low sHDI,nat-average,809,Likelihood fatalities, ** ,1
